,PLAYER_ID,PLAYER_NAME,POSS,GP,MIN,PLAYER_LAST_TEAM_ID,FG2A_not_self_created,FG2A_self_created,FG2M_not_self_created,FG2M_self_created,FG3A_not_self_created,FG3A_self_created,FG3M_not_self_created,FG3M_self_created,FGA_not_self_created,FGA_self_created,FGM_not_self_created,FGM_self_created,efg_not_self_created,efg_self_created,POSS_Cut,PTS_Cut,PPP_Cut,POSS_Handoff,PTS_Handoff,PPP_Handoff,POSS_Isolation,PTS_Isolation,PPP_Isolation,POSS_OffScreen,PTS_OffScreen,PPP_OffScreen,POSS_Postup,PTS_Postup,PPP_Postup,POSS_PRBallHandler,PTS_PRBallHandler,PPP_PRBallHandler,POSS_PRRollman,PTS_PRRollman,PPP_PRRollman,POSS_Spotup,PTS_Spotup,PPP_Spotup,POSS_Transition,PTS_Transition,PPP_Transition,headshot_url,primary_color,season
0,2544,LeBron James,3718,51,34.6,1610612747,2.8846153846153846,10.005379236148467,2.1382463690155995,5.264927380311995,3.1871974179666487,2.7434104357181277,1.3111888111888113,1.0287789133942982,6.071812802582033,12.748789671866595,3.4494351802044108,6.293706293706294,0.6760797342192691,0.5340189873417721,0.8068854222700377,1.2708445400753092,1.575,1.0691231845077998,1.0086067778375472,0.9433962264150944,3.8125336202259277,3.8125336202259277,1.0,0.5849919311457773,0.6455083378160301,1.103448275862069,3.1871974179666487,3.126681011296396,0.9810126582278481,4.760623991393222,4.357181280258203,0.9152542372881356,0.8068854222700377,0.8875739644970414,1.1,2.1785906401291015,2.339967724583109,1.0740740740740742,5.547337278106509,6.4147391070468,1.1563636363636363,https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png,#552583,2024-25
1,101108,Chris Paul,3328,55,28.9,1610612759,0.18028846153846154,2.997295673076923,0.15775240384615383,1.4423076923076923,2.2986778846153846,3.6959134615384612,0.7436899038461539,1.3746995192307694,2.4789663461538463,6.693209134615385,0.9014423076923077,2.8170072115384612,0.5136363636363637,0.5235690235690236,,,,0.40564903846153844,0.4957932692307692,1.2222222222222223,1.2845552884615385,1.1042668269230769,0.8596491228070176,,,,,,,4.777644230769231,4.507211538461538,0.9433962264150944,,,,2.34375,2.411358173076923,1.0288461538461537,1.5099158653846154,1.3296274038461537,0.8805970149253731,https://cdn.nba.com/headshots/nba/latest/1040x760/101108.png,#C4CED4,2024-25
2,200768,Kyle Lowry,1293,33,18.9,1610612755,0.2900232018561485,1.3341067285382833,0.0580046403712297,0.580046403712297,3.9443155452436196,0.8700696055684455,1.3341067285382833,0.2900232018561485,4.234338747099768,2.2041763341067284,1.3921113689095126,0.8700696055684455,0.4863013698630137,0.4605263157894737,,,,,,,,,,,,,,,,1.5081206496519723,0.9280742459396752,0.6153846153846154,,,,3.0162412993039447,3.0162412993039447,1.0,1.5661252900232019,0.9280742459396752,0.5925925925925926,https://cdn.nba.com/headshots/nba/latest/1040x760/200768.png,#006BB6,2024-25
3,201142,Kevin Durant,3355,44,36.6,1610612756,2.503725782414307,9.858420268256333,1.6318926974664678,5.700447093889717,4.7168405365126675,1.0283159463487332,2.0119225037257826,0.2906110283159464,7.220566318926974,10.886736214605067,3.6438152011922504,5.991058122205663,0.6439628482972136,0.5636550308008214,0.7377049180327869,0.9836065573770492,1.3333333333333333,0.5141579731743666,0.5365126676602087,1.0434782608695652,4.3144560357675115,4.985096870342772,1.1554404145077721,2.1460506706408347,2.235469448584203,1.0416666666666667,1.7436661698956781,1.7660208643815203,1.0128205128205128,3.9344262295081966,3.6438152011922504,0.9261363636363636,1.2071535022354696,1.3412816691505216,1.1111111111111112,,,,3.397913561847988,4.470938897168406,1.3157894736842106,https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png,#1D1160,2024-25
4,201143,Al Horford,2440,45,26.5,1610612738,1.9364754098360657,0.9528688524590164,1.168032786885246,0.36885245901639346,6.639344262295082,0.06147540983606557,2.3668032786885247,0.0,8.575819672131146,1.014344262295082,3.5348360655737703,0.36885245901639346,0.5501792114695341,0.36363636363636365,0.584016393442623,0.6762295081967213,1.1578947368421053,,,,,,,,,,0.8913934426229508,0.7069672131147542,0.7931034482758621,,,,1.5676229508196722,1.2295081967213115,0.7843137254901961,5.0409836065573765,5.686475409836065,1.1280487804878048,1.5061475409836065,1.7520491803278688,1.163265306122449,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png,#007A33,2024-25
5,201144,Mike Conley,2563,50,25.0,1610612750,0.5559890753023801,2.7214202106905967,0.20483808037456105,0.907140070230199,4.682013265704253,2.0483808037456104,1.9605930550136559,0.6730394069449863,5.238002341006633,4.769801014436207,2.165431135388217,1.5801794771751854,0.6005586592178771,0.401840490797546,,,,1.4338665626219274,1.316816230979321,0.9183673469387755,,,,0.7315645727662896,0.7900897385875927,1.08,,,,3.628560280920796,3.3651970347249316,0.9274193548387096,,,,3.8041357783847056,4.24307452204448,1.1153846153846154,1.7557549746390946,1.5216543113538823,0.8666666666666667,https://cdn.nba.com/headshots/nba/latest/1040x760/201144.png,#236192,2024-25
6,201145,Jeff Green,434,17,12.3,1610612745,1.3824884792626728,2.5921658986175116,1.3824884792626728,2.0737327188940093,6.394009216589862,0.6912442396313364,2.2465437788018434,0.1728110599078341,7.776497695852534,3.283410138248848,3.629032258064516,2.2465437788018434,0.6111111111111112,0.7105263157894737,,,,,,,,,,,,,,,,,,,,,,6.221198156682028,6.221198156682028,1.0,2.0737327188940093,3.974654377880184,1.9166666666666667,https://cdn.nba.com/headshots/nba/latest/1040x760/201145.png,#CE1141,2024-25
7,201566,Russell Westbrook,3030,51,27.5,1610612743,2.8217821782178216,5.594059405940595,1.9059405940594059,2.6485148514851486,3.2178217821782176,1.0148514851485149,0.9653465346534653,0.39603960396039606,6.03960396039604,6.608910891089108,2.871287128712871,3.0445544554455446,0.555327868852459,0.49063670411985016,1.683168316831683,2.2277227722772275,1.3235294117647058,0.7920792079207921,0.6683168316831682,0.84375,1.4851485148514851,1.4603960396039606,0.9833333333333333,0.2722772277227723,0.22277227722772278,0.8181818181818182,0.7425742574257426,0.5693069306930694,0.7666666666666667,4.00990099009901,2.698019801980198,0.6728395061728395,,,,,,,3.9603960396039604,3.5396039603960396,0.89375,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,#0E2240,2024-25
8,201567,Kevin Love,449,19,10.9,1610612748,4.844097995545657,2.0044543429844097,1.5033407572383075,0.8351893095768375,9.020044543429844,0.6681514476614699,3.173719376391982,0.33407572383073497,13.8641425389755,2.6726057906458798,4.67706013363029,1.1692650334075725,0.45180722891566266,0.5,1.837416481069042,0.6681514476614699,0.36363636363636365,,,,,,,,,,,,,,,,1.837416481069042,1.5033407572383075,0.8181818181818182,6.347438752783964,7.182628062360802,1.131578947368421,4.008908685968819,2.8396436525612474,0.7083333333333334,https://cdn.nba.com/headshots/nba/latest/1040x760/201567.png,#98002E,2024-25
9,201569,Eric Gordon,1601,39,19.7,1610612755,0.5621486570893192,2.5765146783260464,0.2810743285446596,1.1711430356027484,5.902560899437852,0.5153029356652092,2.4359775140537163,0.1873828856964397,6.46470955652717,3.0918176139912554,2.717051842598376,1.358525921299188,0.6086956521739131,0.4696969696969697,,,,0.46845721424109926,0.3279200499687695,0.7,0.5153029356652092,0.5153029356652092,1.0,0.6089943785134291,0.46845721424109926,0.7692307692307693,,,,0.7963772642098689,0.5153029356652092,0.6470588235294118,,,,6.6052467207995,7.635852592129919,1.1560283687943262,1.920674578388507,2.108057464084947,1.0975609756097562,https://cdn.nba.com/headshots/nba/latest/1040x760/201569.png,#006BB6,2024-25
